Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Segment
111,1,129.9,2,1,3,213
114,1,18.9,2,1,1,211
145,1,154.0,2,1,3,213
131,1,27.99,2,1,1,211
182,1,382.0,1,1,3,113
169,1,104.9,1,1,2,112
158,1,49.95,2,1,1,211
128,1,64.89,2,1,2,212
233,1,28.9,1,1,1,111
65,1,59.9,3,1,2,312
8,1,14.96,3,1,1,311
100,1,12.88,2,1,1,211
34,1,285.8,3,1,3,313
176,1,49.95,1,1,1,111
222,1,88.0,1,1,2,112
26,1,59.8,3,1,2,312
32,1,74.5,3,1,2,312
4,1,136.89000000000001,3,1,3,313
32,1,22.32,3,1,1,311
187,1,12.9,1,1,1,111
199,1,79.9,1,1,2,112
120,1,159.99,2,1,3,213
48,1,151.9,3,1,3,313
100,1,9.0,2,1,1,211
67,1,39.9,3,1,1,311
63,1,116.25,3,1,2,312
153,1,89.9,2,1,2,212
20,1,68.9,3,1,2,312
88,1,39.5,2,1,1,211
36,1,177.9,3,1,3,313
157,1,37.9,2,1,1,211
234,1,95.9,1,1,2,112
183,1,199.9,1,1,3,113
225,1,19.49,1,1,1,111
139,1,44.99,2,1,1,211
211,1,97.9,1,1,2,112
195,1,92.9,1,1,2,112
45,1,514.9,3,1,3,313
43,1,45.0,3,1,1,311
64,1,350.0,3,1,3,313
51,1,188.0,3,1,3,313
113,1,26.0,2,1,1,211
109,1,438.0,2,1,3,213
224,1,13.99,1,1,1,111
210,1,79.9,1,1,2,112
212,1,215.0,1,1,3,113
214,1,425.0,1,1,3,113
149,1,85.5,2,1,2,212
23,1,105.0,3,1,2,312
35,1,149.9,3,1,3,313
15,1,99.99,3,1,2,312
165,1,18.75,1,1,1,111
14,1,195.0,3,1,3,313
22,1,109.7,3,1,2,312
236,1,129.9,1,1,3,113
119,1,524.9,2,1,3,213
134,1,48.0,2,1,1,211
30,1,57.99,3,1,2,312
113,1,85.0,2,1,2,212
159,1,245.0,2,1,3,213
227,1,87.9,1,1,2,112
34,1,49.9,3,1,1,311
83,1,64.99,3,1,2,312
70,1,5.9,3,1,1,311
13,1,69.5,3,1,2,312
21,1,21.7,3,1,1,311
41,1,25.9,3,1,1,311
94,1,27.0,2,1,1,211
24,1,134.99,3,1,3,313
197,1,32.0,1,1,1,111
44,1,949.99,3,1,3,313
125,1,159.98,2,1,3,213
17,1,152.0,3,1,3,313
119,1,49.99,2,1,1,211
149,1,1561.0,2,1,3,213
122,1,48.99,2,1,1,211
196,1,68.0,1,1,2,112
20,1,129.99,3,1,3,313
151,1,92.9,2,1,2,212
39,1,220.64,3,1,3,313
8,1,75.07,3,1,2,312
103,1,70.0,2,1,2,212
159,1,72.58,2,1,2,212
110,1,79.99,2,1,2,212
98,1,689.0,2,1,3,213
33,1,199.99,3,1,3,313
156,1,12.9,2,1,1,211
140,1,129.0,2,1,3,213
185,1,135.9,1,1,3,113
229,1,37.8,1,1,1,111
180,1,215.6,1,1,3,113
69,1,52.66,3,1,1,311
183,1,15.0,1,1,1,111
52,1,15.99,3,1,1,311
71,1,169.9,3,1,3,313
64,1,59.9,3,1,2,312
141,1,89.9,2,1,2,212
194,1,19.9,1,1,1,111
75,1,67.99,3,1,2,312
199,1,29.99,1,1,1,111
18,1,39.49,3,1,1,311
102,1,104.9,2,1,2,212
226,1,194.9,1,1,3,113
158,1,59.9,2,1,2,212
111,1,599.0,2,1,3,213
202,1,219.0,1,1,3,113
56,1,75.0,3,1,2,312
71,1,139.99,3,1,3,313
170,1,849.5,1,1,3,113
114,1,53.9,2,1,1,211
142,1,53.9,2,1,1,211
206,1,109.95,1,1,2,112
106,1,21.9,2,1,1,211
83,1,129.0,3,1,3,313
239,1,49.97,1,1,1,111
171,1,54.4,1,1,1,111
235,1,30.5,1,1,1,111
211,1,465.88,1,1,3,113
160,1,330.0,2,1,3,213
67,1,160.0,3,1,3,313
7,1,67.98,3,1,2,312
171,1,29.9,1,1,1,111
13,1,111.51,3,1,2,312
137,1,45.0,2,1,1,211
205,1,89.9,1,1,2,112
56,1,80.38,3,1,2,312
197,1,134.9,1,1,3,113
132,1,172.14,2,1,3,213
82,1,59.99,3,1,2,312
128,1,79.99,2,1,2,212
147,1,13.65,2,1,1,211
126,1,79.98,2,1,2,212
123,1,110.0,2,1,2,212
15,1,179.9,3,1,3,313
70,1,34.49,3,1,1,311
30,1,95.0,3,1,2,312
9,1,98.0,3,1,2,312
87,2,81.45,2,3,2,232
199,1,89.7,1,1,2,112
